trame,seconde,camera,boucles,fps
50,1.0,71,9,9.0
100,2.0,81,10,10.0
150,3.0,90,10,10.0
200,4.0,100,11,11.0
250,5.0,109,10,10.0
300,6.0,118,10,10.0
350,7.0,128,9,9.0
400,8.0,137,9,9.0
450,9.0,146,8,8.0
500,10.0,155,9,9.0
550,11.0,164,8,8.0
600,12.0,174,8,8.0
650,13.0,183,7,7.0
700,14.0,193,8,8.0
750,15.0,203,8,8.0
800,16.0,211,8,8.0
850,17.0,222,10,10.0
900,18.0,231,9,9.0
950,19.0,240,9,9.0
1000,20.0,249,9,9.0
1050,21.0,259,9,9.0
1100,22.0,268,9,9.0
1150,23.0,278,10,10.0
1200,24.0,287,10,10.0
1250,25.0,296,10,10.0
1300,26.0,306,11,11.0
1350,27.0,315,11,11.0
1400,28.0,324,10,10.0
1450,29.0,334,11,11.0
1500,30.0,344,11,11.0
1550,31.0,353,10,10.0
1600,32.0,362,10,10.0
1650,33.0,371,9,9.0
1700,34.0,381,10,10.0
1750,35.0,390,10,10.0
1800,36.0,399,9,9.0
1850,37.0,409,10,10.0
1900,38.0,418,9,9.0
1950,39.0,428,10,10.0
2000,40.0,437,9,9.0
2050,41.0,446,10,10.0
2100,42.0,456,10,10.0
2150,43.0,465,10,10.0
2200,44.0,474,10,10.0
2250,45.0,484,10,10.0
2300,46.0,493,10,10.0
2350,47.0,502,10,10.0
2400,48.0,512,10,10.0
2450,49.0,521,10,10.0
2500,50.0,530,10,10.0
2550,51.0,540,10,10.0
2600,52.0,549,9,9.0
2650,53.0,558,9,9.0
2700,54.0,568,9,9.0
2750,55.0,577,8,8.0
2800,56.0,587,9,9.0
2850,57.0,596,8,8.0
2900,58.0,606,9,9.0
2950,59.0,615,8,8.0
3000,60.0,624,9,9.0
3050,61.0,633,9,9.0
3100,62.0,642,8,8.0
3150,63.0,651,7,7.0
3200,64.0,660,6,6.0
3250,65.0,669,6,6.0
3300,66.0,680,7,7.0
3350,67.0,688,6,6.0
3400,68.0,698,7,7.0
3450,69.0,707,7,7.0
3500,70.0,717,7,7.0
3550,71.0,726,6,6.0
3600,72.0,735,6,6.0
3650,73.0,744,6,6.0
3700,74.0,753,6,6.0
3750,75.0,762,6,6.0
3800,76.0,772,7,7.0
3850,77.0,781,6,6.0
3900,78.0,790,6,6.0
3950,79.0,799,7,7.0
4000,80.0,809,7,7.0
4050,81.0,819,7,7.0
4100,82.0,827,6,6.0
4150,83.0,837,7,7.0
4200,84.0,847,8,8.0
4250,85.0,856,8,8.0
4300,86.0,866,8,8.0
4350,87.0,874,7,7.0
4400,88.0,884,8,8.0
4450,89.0,893,8,8.0
4500,90.0,903,8,8.0
4550,91.0,912,7,7.0
4600,92.0,921,7,7.0
4650,93.0,930,7,7.0
4700,94.0,940,7,7.0
4750,95.0,950,7,7.0
4800,96.0,959,8,8.0
4850,97.0,969,10,10.0
4900,98.0,978,11,11.0
4950,99.0,988,12,12.0
5000,100.0,997,11,11.0
5050,101.0,1006,10,10.0
5100,102.0,1008,10,10.0
5150,103.0,1008,10,10.0
5200,104.0,1008,10,10.0
5250,105.0,1008,11,11.0
5300,106.0,1008,12,12.0
5350,107.0,1008,11,11.0
5400,108.0,1008,12,12.0
5450,109.0,1008,11,11.0
5500,110.0,1008,12,12.0
5550,111.0,1008,12,12.0
5600,112.0,1008,12,12.0
5650,113.0,1008,11,11.0
5700,114.0,1008,12,12.0
5750,115.0,1008,12,12.0
5800,116.0,1008,50,50.0
5850,117.0,1008,50,50.0
5900,118.0,1008,50,50.0
5950,119.0,1008,50,50.0
6000,120.0,1008,50,50.0
6050,121.0,1008,50,50.0
6100,122.0,1008,50,50.0
6150,123.0,1008,50,50.0
6200,124.0,1008,50,50.0
6250,125.0,1008,50,50.0
6300,126.0,1008,50,50.0
6350,127.0,1008,33,33.0
6400,128.0,1008,0,0.0
6450,129.0,1008,0,0.0
6500,130.0,1008,0,0.0
6550,131.0,1008,0,0.0
6600,132.0,1008,0,0.0
6650,133.0,1008,0,0.0
6700,134.0,1008,0,0.0
6750,135.0,1008,0,0.0
6800,136.0,1008,0,0.0
6850,137.0,1008,0,0.0
6900,138.0,1008,0,0.0
