trame,seconde,camera,boucles,fps
50,1.0,80,8,8.0
100,2.0,88,6,6.0
150,3.0,98,7,7.0
200,4.0,108,7,7.0
250,5.0,117,6,6.0
300,6.0,126,6,6.0
350,7.0,135,7,7.0
400,8.0,144,6,6.0
450,9.0,153,6,6.0
500,10.0,162,6,6.0
550,11.0,170,5,5.0
600,12.0,179,6,6.0
650,13.0,188,6,6.0
700,14.0,197,6,6.0
750,15.0,206,6,6.0
800,16.0,213,5,5.0
850,17.0,222,6,6.0
900,18.0,231,6,6.0
950,19.0,241,7,7.0
1000,20.0,250,6,6.0
1050,21.0,259,6,6.0
1100,22.0,268,6,6.0
1150,23.0,278,7,7.0
1200,24.0,287,6,6.0
1250,25.0,296,6,6.0
1300,26.0,305,6,6.0
1350,27.0,315,7,7.0
1400,28.0,324,6,6.0
1450,29.0,333,6,6.0
1500,30.0,342,6,6.0
1550,31.0,352,7,7.0
1600,32.0,361,6,6.0
1650,33.0,370,6,6.0
1700,34.0,379,6,6.0
1750,35.0,388,6,6.0
1800,36.0,397,6,6.0
1850,37.0,406,6,6.0
1900,38.0,415,6,6.0
1950,39.0,424,6,6.0
2000,40.0,433,6,6.0
2050,41.0,440,5,5.0
2100,42.0,449,6,6.0
2150,43.0,458,6,6.0
2200,44.0,466,5,5.0
2250,45.0,475,6,6.0
2300,46.0,485,7,7.0
2350,47.0,494,6,6.0
2400,48.0,503,6,6.0
2450,49.0,513,7,7.0
2500,50.0,522,6,6.0
2550,51.0,531,7,7.0
2600,52.0,540,7,7.0
2650,53.0,550,8,8.0
2700,54.0,560,8,8.0
2750,55.0,568,7,7.0
2800,56.0,578,8,8.0
2850,57.0,587,7,7.0
2900,58.0,597,7,7.0
2950,59.0,606,8,8.0
3000,60.0,615,7,7.0
3050,61.0,625,7,7.0
3100,62.0,634,7,7.0
3150,63.0,644,7,7.0
3200,64.0,653,7,7.0
3250,65.0,663,8,8.0
3300,66.0,672,7,7.0
3350,67.0,681,7,7.0
3400,68.0,691,8,8.0
3450,69.0,700,7,7.0
3500,70.0,709,7,7.0
3550,71.0,719,8,8.0
3600,72.0,728,7,7.0
3650,73.0,737,8,8.0
3700,74.0,747,7,7.0
3750,75.0,756,7,7.0
3800,76.0,765,6,6.0
3850,77.0,774,7,7.0
3900,78.0,784,7,7.0
3950,79.0,793,7,7.0
4000,80.0,803,7,7.0
4050,81.0,813,7,7.0
4100,82.0,822,7,7.0
4150,83.0,831,7,7.0
4200,84.0,840,6,6.0
4250,85.0,849,7,7.0
4300,86.0,859,7,7.0
4350,87.0,868,7,7.0
4400,88.0,878,7,7.0
4450,89.0,886,6,6.0
4500,90.0,895,6,6.0
4550,91.0,905,7,7.0
4600,92.0,914,6,6.0
4650,93.0,924,7,7.0
4700,94.0,934,7,7.0
4750,95.0,942,6,6.0
4800,96.0,952,7,7.0
4850,97.0,961,7,7.0
4900,98.0,971,7,7.0
4950,99.0,980,6,6.0
5000,100.0,990,7,7.0
5050,101.0,999,6,6.0
5100,102.0,1008,7,7.0
5150,103.0,1008,6,6.0
5200,104.0,1008,6,6.0
5250,105.0,1008,6,6.0
5300,106.0,1008,7,7.0
5350,107.0,1008,6,6.0
5400,108.0,1008,7,7.0
5450,109.0,1008,6,6.0
5500,110.0,1008,7,7.0
5550,111.0,1008,6,6.0
5600,112.0,1008,7,7.0
5650,113.0,1008,8,8.0
5700,114.0,1008,7,7.0
5750,115.0,1008,7,7.0
5800,116.0,1008,7,7.0
5850,117.0,1008,20,20.0
5900,118.0,1008,20,20.0
5950,119.0,1008,20,20.0
6000,120.0,1008,20,20.0
6050,121.0,1008,20,20.0
6100,122.0,1008,19,19.0
6150,123.0,1008,20,20.0
6200,124.0,1008,21,21.0
6250,125.0,1008,22,22.0
6300,126.0,1008,19,19.0
6350,127.0,1008,19,19.0
6400,128.0,1008,18,18.0
6450,129.0,1008,19,19.0
6500,130.0,1008,19,19.0
6550,131.0,1008,19,19.0
6600,132.0,1008,19,19.0
6650,133.0,1008,10,10.0
6700,134.0,1008,0,0.0
6750,135.0,1008,0,0.0
6800,136.0,1008,0,0.0
6850,137.0,1008,0,0.0
6900,138.0,1008,0,0.0
6950,139.0,1008,0,0.0
7000,140.0,1008,0,0.0
7050,141.0,1008,0,0.0
7100,142.0,1008,0,0.0
7150,143.0,1008,0,0.0
7200,144.0,1008,0,0.0
7250,145.0,1008,0,0.0
7300,146.0,1008,0,0.0
7350,147.0,1008,0,0.0
7400,148.0,1008,0,0.0
7450,149.0,1008,0,0.0
7500,150.0,1008,0,0.0
7550,151.0,1008,0,0.0
