trame,seconde,camera,boucles,fps
50,1.0,11,17,17.0
100,2.0,21,17,17.0
150,3.0,30,16,16.0
200,4.0,39,16,16.0
250,5.0,49,17,17.0
300,6.0,58,17,17.0
350,7.0,67,16,16.0
400,8.0,77,17,17.0
450,9.0,87,17,17.0
500,10.0,96,16,16.0
550,11.0,105,14,14.0
600,12.0,114,14,14.0
650,13.0,123,12,12.0
700,14.0,133,12,12.0
750,15.0,142,11,11.0
800,16.0,152,12,12.0
850,17.0,161,12,12.0
900,18.0,171,11,11.0
950,19.0,180,12,12.0
1000,20.0,189,11,11.0
1050,21.0,199,12,12.0
1100,22.0,208,13,13.0
1150,23.0,217,11,11.0
1200,24.0,226,10,10.0
1250,25.0,236,10,10.0
1300,26.0,245,9,9.0
1350,27.0,255,11,11.0
1400,28.0,264,12,12.0
1450,29.0,274,11,11.0
1500,30.0,283,12,12.0
1550,31.0,293,13,13.0
1600,32.0,301,12,12.0
1650,33.0,311,14,14.0
1700,34.0,321,14,14.0
1750,35.0,330,13,13.0
1800,36.0,339,13,13.0
1850,37.0,348,13,13.0
1900,38.0,358,13,13.0
1950,39.0,367,14,14.0
2000,40.0,377,14,14.0
2050,41.0,386,13,13.0
2100,42.0,395,13,13.0
2150,43.0,405,13,13.0
2200,44.0,414,12,12.0
2250,45.0,423,12,12.0
2300,46.0,433,11,11.0
2350,47.0,442,9,9.0
2400,48.0,451,9,9.0
2450,49.0,460,10,10.0
2500,50.0,470,10,10.0
2550,51.0,479,10,10.0
2600,52.0,489,10,10.0
2650,53.0,498,10,10.0
2700,54.0,507,10,10.0
2750,55.0,516,8,8.0
2800,56.0,525,8,8.0
2850,57.0,535,8,8.0
2900,58.0,545,8,8.0
2950,59.0,554,8,8.0
3000,60.0,563,7,7.0
3050,61.0,573,7,7.0
3100,62.0,582,6,6.0
3150,63.0,591,6,6.0
3200,64.0,600,6,6.0
3250,65.0,609,6,6.0
3300,66.0,618,6,6.0
3350,67.0,628,7,7.0
3400,68.0,637,7,7.0
3450,69.0,646,7,7.0
3500,70.0,656,8,8.0
3550,71.0,665,9,9.0
3600,72.0,674,9,9.0
3650,73.0,685,10,10.0
3700,74.0,693,7,7.0
3750,75.0,702,7,7.0
3800,76.0,712,8,8.0
3850,77.0,722,8,8.0
3900,78.0,732,9,9.0
3950,79.0,741,10,10.0
4000,80.0,750,10,10.0
4050,81.0,759,10,10.0
4100,82.0,769,10,10.0
4150,83.0,778,9,9.0
4200,84.0,788,11,11.0
4250,85.0,797,10,10.0
4300,86.0,807,10,10.0
4350,87.0,815,9,9.0
4400,88.0,825,10,10.0
4450,89.0,834,9,9.0
4500,90.0,843,9,9.0
4550,91.0,853,10,10.0
4600,92.0,862,9,9.0
4650,93.0,872,9,9.0
4700,94.0,881,9,9.0
4750,95.0,891,8,8.0
4800,96.0,900,8,8.0
4850,97.0,909,8,8.0
4900,98.0,919,9,9.0
4950,99.0,928,8,8.0
5000,100.0,938,9,9.0
5050,101.0,946,8,8.0
5100,102.0,955,7,7.0
5150,103.0,965,7,7.0
5200,104.0,974,7,7.0
5250,105.0,984,8,8.0
5300,106.0,993,7,7.0
5350,107.0,1003,8,8.0
5400,108.0,1012,7,7.0
5450,109.0,1022,8,8.0
5500,110.0,1031,8,8.0
5550,111.0,1040,8,8.0
5600,112.0,1049,9,9.0
5650,113.0,1059,10,10.0
5700,114.0,1069,9,9.0
5750,115.0,1078,9,9.0
5800,116.0,1088,10,10.0
5850,117.0,1097,10,10.0
5900,118.0,1106,9,9.0
5950,119.0,1115,10,10.0
6000,120.0,1125,9,9.0
6050,121.0,1134,8,8.0
6100,122.0,1143,9,9.0
6150,123.0,1153,10,10.0
6200,124.0,1162,9,9.0
6250,125.0,1172,10,10.0
6300,126.0,1181,8,8.0
6350,127.0,1191,10,10.0
6400,128.0,1200,10,10.0
6450,129.0,1209,10,10.0
6500,130.0,1219,9,9.0
6550,131.0,1228,9,9.0
6600,132.0,1238,10,10.0
6650,133.0,1247,11,11.0
6700,134.0,1256,9,9.0
6750,135.0,1266,10,10.0
6800,136.0,1275,10,10.0
6850,137.0,1285,11,11.0
6900,138.0,1294,10,10.0
6950,139.0,1303,9,9.0
7000,140.0,1312,9,9.0
7050,141.0,1321,8,8.0
7100,142.0,1331,8,8.0
7150,143.0,1339,7,7.0
7200,144.0,1349,8,8.0
7250,145.0,1358,7,7.0
7300,146.0,1369,9,9.0
7350,147.0,1377,7,7.0
7400,148.0,1386,7,7.0
7450,149.0,1395,7,7.0
7500,150.0,1396,7,7.0
7550,151.0,1396,8,8.0
7600,152.0,1396,7,7.0
7650,153.0,1396,8,8.0
7700,154.0,1396,8,8.0
7750,155.0,1396,7,7.0
7800,156.0,1396,7,7.0
7850,157.0,1396,7,7.0
7900,158.0,1396,8,8.0
7950,159.0,1396,8,8.0
8000,160.0,1396,7,7.0
8050,161.0,1396,8,8.0
8100,162.0,1396,8,8.0
8150,163.0,1396,7,7.0
8200,164.0,1396,8,8.0
8250,165.0,1396,7,7.0
8300,166.0,1396,8,8.0
8350,167.0,1396,8,8.0
8400,168.0,1396,7,7.0
8450,169.0,1396,8,8.0
8500,170.0,1396,7,7.0
8550,171.0,1396,7,7.0
